course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,adj_penalties,adj_ob
"Ocean Course at Kiawah Island",72,7671,489,207,2.57,0.29,0.21,-0.17,293,17.9,0.5894,-0.005,-0.02,-0.056,-0.017,36.7,undefined,undefined,undefined,0.0616,0.532,-0.089,-0.044,-0.007,-0.04,-0.288,-0.007,-0.012,0.004,undefined,undefined
"Torrey Pines South (U.S. Open)",71,7635,490,194,2.57,0.18,0.2,-0.12,300.8,17.8,0.487,-0.014,-0.02,-0.027,-0.003,28.9,undefined,undefined,undefined,0.0111,0.5615,-0.049,-0.017,0.005,-0.034,-0.021,-0.005,-0.025,-0.019,undefined,undefined
"Torrey Pines Golf Course (South Course)",72,7584,486,194,1.13,0.09,0.17,-0.24,288.9,15.6,0.531,-0.02,0.007,0.003,-0.027,26.6,undefined,undefined,undefined,0.0171,0.6134,-0.006,0.007,0.027,-0.007,0.001,-0.012,-0.048,-0.009,undefined,undefined
"Quail Hollow Club (PGA Championship)",71,7488,476,208,2.84,0.23,0.25,-0.26,290.5,19.1,0.5788,-0.017,-0.052,-0.013,0.013,31.4,undefined,undefined,undefined,0.0469,0.5345,-0.067,0.002,-0.05,-0.095,0.008,0,-0.038,-0.027,undefined,undefined
"Crooked Stick GC",72,7474,478,195,-0.32,0.13,0.07,-0.38,284.2,16.1,0.6167,0.007,0.002,0.022,-0.006,35.2,undefined,undefined,undefined,0.0584,0.6416,0.014,0.025,0.008,-0.002,-0.002,0.006,0.012,0.004,undefined,undefined
"Medinah Country Club (No. 3)",72,7470,477,199,-1.16,0.05,0.01,-0.36,290.6,18.6,0.6228,0.009,0.033,0.021,0.016,28.1,undefined,undefined,undefined,0.0147,0.6695,0.012,0.025,0.023,0.001,0.107,0.009,0.022,-0.001,undefined,undefined
"Trump National Doral",72,7469,477,198,1.89,0.19,0.18,-0.17,285,19,0.5198,0.009,-0.009,-0.054,-0.046,35.9,undefined,undefined,undefined,0.0578,0.5948,-0.041,-0.06,0.018,-0.029,-0.006,0.007,0.015,0.006,undefined,undefined
"Augusta National Golf Club",72,7451,480,182,1.94,0.16,0.24,-0.27,291.7,21.2,0.7093,-0.022,-0.08,-0.05,0.007,50.7,undefined,undefined,undefined,0.0262,0.5792,-0.063,-0.045,-0.104,-0.012,-0.032,-0.002,-0.031,-0.051,undefined,undefined
"Wilmington Country Club",71,7424,475,194,0.17,0.1,0.03,-0.19,303.3,21.4,0.4477,0.007,0.002,-0.002,0.019,27.8,undefined,undefined,undefined,0,0.6523,-0.015,0.009,-0.009,-0.024,0.05,-0.001,0.03,0.001,undefined,undefined
"Caves Valley Golf Club",72,7424,471,209,-1.9,0.04,-0.05,-0.39,290.2,17,0.6509,0.011,0.008,0.059,0.042,33.1,undefined,undefined,undefined,0.0094,0.696,0.024,0.072,0.016,-0.017,0.03,0.003,0.014,0.022,undefined,undefined
"Southern Hills Country Club",70,7418,471,213,2.65,0.24,0.17,-0.15,299.5,21,0.6198,-0.009,-0.034,-0.036,0.032,44.2,undefined,undefined,undefined,0.0388,0.5363,-0.052,-0.027,-0.041,-0.04,-0.029,-0.005,-0.027,0,undefined,undefined
"Congressional CC (Blue)",71,7416,474,195,0.03,0,0.05,-0.19,288.1,17.1,0.5787,-0.008,0.026,0.041,0.015,26.7,undefined,undefined,undefined,0.0173,0.6881,0.053,0.036,0.03,0.029,0.017,0.001,-0.027,-0.008,undefined,undefined
"Quail Hollow Club",71,7414,474,195,0.85,0.14,0.12,-0.31,296.6,20.4,0.5265,-0.01,0.006,-0.015,0.02,31.2,undefined,undefined,undefined,0.043,0.6019,-0.025,-0.011,-0.006,0.023,0.013,0.001,-0.017,-0.023,undefined,undefined
"Winged Foot GC",70,7392,470,204,4.45,0.29,0.29,-0.11,288.6,23,0.4631,-0.029,-0.072,-0.016,-0.069,31.9,undefined,undefined,undefined,0.0032,0.5063,-0.008,-0.018,-0.049,-0.115,-0.022,-0.015,-0.024,-0.058,undefined,undefined
